Name,zPR,ADP,
Robinson Chirinos,-0.6579539864,253.1,-0.79
Dustin Pedroia,-0.6597262056,407.1,-0.79
Josh Reddick,-0.6688326988,277.6,-0.80
Aaron Hicks,-0.7004311178,224.3,-0.84
Ryan Pressly,-0.704,649.8,
J.T. Realmuto,-0.7102803197,108.6,-0.85
Starlin Castro,-0.7387807669,286,-0.89
Tyler Skaggs,-0.756,379.2,
Adam Ottavino,-0.762,665.2,
Joe Jimenez,-0.764,540.7,
Tony Cingrani,-0.782,707.9,
Marwin Gonzalez,-0.8246801729,122.7,-0.99
Tim Beckham,-0.8412684988,259.5,-1.01
Sean Newcomb,-0.861,307.1,
Carlos Rodon,-0.868,383.9,
Jose Ramirez,-0.876,633.6,
Jose Pirela,-0.8779823633,354.8,-1.05
Jimmy Nelson,-0.884,335.3,
Manuel Margot,-0.8861168717,137.9,-1.06
Marco Estrada,-0.886,301.3,
Adam Duvall,-0.9006031588,179.9,-1.08
Bud Norris,-0.920,525.7,
Joc Pederson,-0.931820472,394.6,-1.12
Chase Anderson,-0.936,175.4,
Sean Manaea,-0.936,244.4,
Ivan Nova,-0.942,345.4,
Nick Delmonico,-0.9626283301,430.6,-1.16
Adam Morgan,-0.968,685.4,
Jay Bruce,-1.000516727,161.5,-1.20
Andrew Heaney,-1.024,405.5,
Julio Teheran,-1.131,231.8,
Zack Cozart,-1.131485305,222.2,-1.36
Scooter Gennett,-1.136785887,205.5,-1.36
Nathan Karns,-1.145,426.3,
Michael Lorenzen,-1.156,620.5,
Luis Garcia,-1.158,649.4,
Brock Stewart,-1.175,552.9,
Mike Leake,-1.180,332,
Nick Pivetta,-1.183,418.1,
Mike Clevinger,-1.189,193.6,
Devon Travis,-1.225744773,371,-1.47
Yadier Molina,-1.232320444,152.3,-1.48
Amed Rosario,-1.247002239,247.9,-1.50
Tyler Flowers,-1.269389732,302,-1.52
Jorge Soler,-1.277461564,363.8,-1.53
Taylor Rogers,-1.285,612.4,
Dan Straily,-1.304,333.5,
Jose Iglesias,-1.310597377,524.2,-1.57
Patrick Corbin,-1.315,226.6,
Ben Zobrist,-1.315640519,464.7,-1.58
Orlando Arcia,-1.319392822,182.6,-1.58
Gregory Bird,-1.330343159,174.4,-1.60
Michael A. Taylor,-1.346831356,222.8,-1.62
Steve Pearce,-1.369999375,605,-1.64
Jakob Junis,-1.373,359.7,
Anthony Banda,-1.376,652.2,
Erasmo Ramirez,-1.470,479.4,
Frankie Montas,-1.497,673.1,
German Marquez,-1.500,340.7,
Mike Foltynewicz,-1.509,331.5,
Tyler Mahle,-1.538,394.5,
Tyler Anderson,-1.539,415.1,
Brandon Phillips,-1.599259983,445.8,-1.92
Jesse Winker,-1.607923837,318.8,-1.93
Brandon McCarthy,-1.611,402.4,
Chase Headley,-1.611216983,408.3,-1.93
Ervin Santana,-1.643,260.1,
Mark Trumbo,-1.65190734,281.3,-1.98
Emilio Pagan,-1.655,529,
Tim Anderson,-1.660064028,197.3,-1.99
Cameron Maybin,-1.67521169,320.4,-2.01
Nick Markakis,-1.682760238,435.1,-2.02
Hunter Pence,-1.684645011,424.4,-2.02
Russell Martin,-1.690978601,314.3,-2.03
Nathan Eovaldi,-1.698,479.6,
Hanley Ramirez,-1.708490489,312.3,-2.05
Logan Forsythe,-1.711356784,404.7,-2.05
Zach Davies,-1.725,301.2,
Matt Andriese,-1.748,505.6,
Zack Wheeler,-1.749,428,
Jack Flaherty,-1.765,341.6,
Jordy Mercer,-1.771420308,500.8,-2.13
Jeimer Candelario,-1.772762792,337.5,-2.13
Matt Strahm,-1.791,543.9,
Tyler Chatwood,-1.806,246.1,
Dansby Swanson,-1.80626032,383.9,-2.17
Santiago Casilla,-1.818,644.3,
Alex Cobb,-1.838,249.8,
Mike Zunino,-1.841309492,156.5,-2.21
Jed Lowrie,-1.858572794,413.8,-2.23
Anibal Sanchez,-1.874,683.5,
Brian McCann,-1.883379885,223.3,-2.26
Jeremy Jeffress,-1.913,641.8,
Brad Miller,-1.916153379,449.2,-2.30
Jason Vargas,-1.942,417.6,
Gerardo Parra,-1.952545669,363,-2.34
Ian Kennedy,-1.974,431,
Wandy Peralta,-1.997,679.6,
Jake Odorizzi,-2.028,258.5,
Scott Kingery,-2.031025099,269.4,-2.44
Denard Span,-2.042512728,440.2,-2.45
Melky Cabrera,-2.045293941,366.3,-2.45
Tyler Clippard,-2.047,733.3,
Aaron Sanchez,-2.053,193.4,
Anthony DeSclafani,-2.070,401.8,
Steven Brault,-2.087,676.3,
Ryan Buchter,-2.094,673.7,
Sal Romano,-2.110,579.5,
Lance Lynn,-2.125,221.2,
CC Sabathia,-2.145,332.7,
Adam Wainwright,-2.162,424.3,
Curtis Granderson,-2.172260914,436.8,-2.61
Wilmer Flores,-2.219931838,360.6,-2.66
Matt Duffy,-2.226156319,444.6,-2.67
Brandon Kintzler,-2.235,486.1,
Chad Kuhl,-2.239,388.3,
Albert Pujols,-2.257195843,312.4,-2.71
Jerad Eickhoff,-2.291,377.6,
Josh Tomlin,-2.338,440.8,
Clayton Richard,-2.365,474.6,
Adam Frazier,-2.429966808,417.8,-2.92
Jose Martinez,-2.45091092,251.3,-2.94
Ryon Healy,-2.456975343,230.2,-2.95
Matt Joyce,-2.474923469,469,-2.97
Jason Hammel,-2.488,529.8,
Lonnie Chisenhall,-2.491370771,384.7,-2.99
Salvador Perez,-2.532568456,100.1,-3.04
David Freese,-2.544696166,635.6,-3.05
Alex Wilson,-2.552,655.2,
Francisco Cervelli,-2.560053594,424.1,-3.07
Francisco Liriano,-2.565,545.7,
Brandon Finnegan,-2.573,452.2,
Freddy Galvis,-2.596992072,370.3,-3.12
Trevor Oaks,-2.650,724.9,
Austin Barnes,-2.669394108,209.7,-3.20
Troy Tulowitzki,-2.672073149,404.2,-3.21
Lucas Giolito,-2.703,225.3,
Eduardo Escobar,-2.745753884,422.3,-3.29
Andrew Triggs,-2.747,478.5,
Matt Harvey,-2.799,316.5,
Brandon Drury,-2.805190658,353.7,-3.37
Brent Suter,-2.819,496.3,
Luis Valbuena,-2.833481714,501.9,-3.40
Jaime Garcia,-2.840,479.8,
Michael Kopech,-2.843,328.4,
Martin Prado,-2.844533115,562.2,-3.41
Mike Dunn,-2.889,696.3,
James McCann,-2.915237492,301.2,-3.50
Chris Iannetta,-2.916039556,261.9,-3.50
Nick Williams,-2.920563281,316.8,-3.50
Chris Stratton,-2.932,426.4,
Wilson Ramos,-2.939618213,158.9,-3.53
Brandon Woodruff,-2.945,388.7,
Kyle Gibson,-2.960,426,
Matt Belisle,-2.965,626.4,
Blake Wood,-2.966,679.7,
Mitch Moreland,-2.986900896,413.8,-3.58
Leonys Martin,-2.989147127,392.1,-3.59
Julio Urias,-3.002,628.5,
Shohei Ohtani,-3.03175632,94.8,-3.64
Luis Perdomo,-3.061,508.4,
Jared Hughes,-3.070,704.7,
Seth Lugo,-3.088,538.2,
J.P. Crawford,-3.090945177,376.8,-3.71
Yolmer Sanchez,-3.116409091,435,-3.74
Christian Vazquez,-3.125345761,299.8,-3.75
Daniel Norris,-3.127,464,
Matt Boyd,-3.137,484.2,
Trevor May,-3.144,681.4,
Matt Holliday,-3.185003962,688.4,-3.82
Sam Dyson,-3.192,465.6,
Austin Jackson,-3.21937147,536.6,-3.86
Daniel Mengden,-3.230,402.3,
Jhoulys Chacin,-3.253,353.8,
Boog Powell,-3.25295212,591.7,-3.90
Chad Pinder,-3.270286188,451.3,-3.92
Chase Utley,-3.280774643,999,-3.94
Mike Fiers,-3.302,533.6,
Nick Ahmed,-3.309273894,611.8,-3.97
Reynaldo Lopez,-3.351,369.2,
Mallex Smith,-3.36146449,299,-4.03
Travis d'Arnaud,-3.362159043,284.2,-4.03
JC Ramirez,-3.429,538.3,
Yunel Escobar,-3.440110022,673.1,-4.13
Dixon Machado,-3.445144541,555.8,-4.13
Paulo Orlando,-3.466845845,663.8,-4.16
Jose Urena,-3.482,410.2,
Leury Garcia,-3.493850823,493.8,-4.19
Wily Peralta,-3.534,678.5,
Marco Gonzales,-3.549,476,
Kendall Graveman,-3.585,461,
Dillon Peters,-3.593,583.9,
Colby Rasmus,-3.602227985,530,-4.32
Mark Leiter,-3.640,573.9,
Antonio Senzatela,-3.653,660,
Ben Gamel,-3.658401273,454.9,-4.39
Jesse Chavez,-3.661,703.8,
Adeiny Hechavarria,-3.700773192,535.8,-4.44
Colin Moran,-3.744017702,389.6,-4.49
Johan Camargo,-3.771218295,443.4,-4.53
Jarlin Garcia,-3.823,661.6,
Jason Castro,-3.907209826,381.7,-4.69
Welington Castillo,-3.922982635,170.9,-4.71
Trevor Williams,-3.927,434.4,
Alcides Escobar,-3.949368154,522.2,-4.74
Trevor Cahill,-3.990,578.6,
Doug Fister,-3.992,551.2,
Nick Tropeano,-4.011,598.3,
Robert Gsellman,-4.035,576.3,
Enrique Hernandez,-4.059851267,534.5,-4.87
Martin Perez,-4.071,646.7,
Luis Urias,-4.077896046,593.5,-4.89
Tucker Barnhart,-4.145738539,322.5,-4.97
Matt Davidson,-4.147750576,405.9,-4.98
Ty Blach,-4.223,585.6,
Alex Avila,-4.243493246,326.6,-5.09
Adam Engel,-4.272874596,572.5,-5.13
Jordan Zimmermann,-4.279,571,
Matt Wieters,-4.323335795,327.8,-5.19
Hisashi Iwakuma,-4.333,673.9,
Cheslor Cuthbert,-4.338668382,579.4,-5.21
Huston Street,-4.351,668.1,
Chase Whitley,-4.366,668.9,
Joe Biagini,-4.417,581.4,
Steven Wright,-4.471,647.5,
Franchy Cordero,-4.48938436,507,-5.39
A.J. Cole,-4.521,527.4,
Martin Maldonado,-4.537434003,405.6,-5.44
Matt Moore,-4.554,473.4,
Ariel Miranda,-4.594,576.1,
Jeff Hoffman,-4.638,628,
Hunter Renfroe,-4.662413388,319.8,-5.59
Miguel Rojas,-4.691198489,689.6,-5.63
Daniel Robertson,-4.696164767,675.5,-5.64
Manny Pina,-4.701468121,349.1,-5.64
Jorge Alfaro,-4.702138939,242.9,-5.64
Ben Lively,-4.733,591.9,
James Shields,-4.754,599.6,
Shelby Miller,-4.815,669.2,
Chris Martin,-4.840,686.3,
Wade Miley,-4.975,635.5,
Kyle Freeland,-4.999,571.6,
Austin Hedges,-5.026116521,253.7,-6.03
Jeremy Hellickson,-5.028,628.6,
Sean Rodriguez,-5.029922063,640.1,-6.04
Erick Fedde,-5.074,628.6,
Hector Santiago,-5.076,681.3,
Junior Guerra,-5.087,653.7,
Nick Kingham,-5.217,701.6,
Tyson Ross,-5.229,486,
Amir Garrett,-5.235,463.1,
Brett Anderson,-5.242,688.3,
Buck Farmer,-5.290,690.2,
J.T. Riddle,-5.333097904,676.4,-6.40
Ryan Merritt,-5.346,677.7,
Odrisamer Despaigne,-5.369,655.5,
Miguel Gonzalez,-5.389,660.8,
Joey Wendle,-5.440339158,672.6,-6.53
Robbie Erlin,-5.480,662.4,
Homer Bailey,-5.516,512.5,
Andrew Cashner,-5.603,503.6,
Adalberto Mejia,-5.627,600.1,
Paul Blackburn,-5.642,668.7,
Chad Bettis,-5.840,643.8,
Colin Rea,-5.870,714.2,
Parker Bridwell,-5.892,503.5,
Sandy Alcantara,-5.950,541.5,
Cody Reed,-6.020,707.1,
Andrew Moore,-6.058,660.8,
Braxton Lee,-6.108659063,659.7,-7.33
Chris Tillman,-6.123,644.2,
Tyler Beede,-6.134,641.6,
Tyler Ladendorf,-6.176437721,999,-7.41
Roberto Perez,-6.441458974,564.8,-7.73
Zach Eflin,-6.501,706.9,
Burch Smith,-6.682,707.3,
Max Fried,-6.758,551.4,
Miguel Castro,-6.879,652.5,
Caleb Joseph,-7.05987476,473.1,-8.47
Adam Conley,-7.166,670.8,
Yohander Mendez,-7.469,663.5,
Eddie Butler,-7.517,684.7,
Carson Fulmer,-7.557,521.3,
Robert Stephenson,-7.937,472.5,
